Timestamp,Maintenance Type,Duration (hours),Downtime (hours)
2020-01-01 00:00:00.000000000,Corrective,19,44
2020-01-01 03:30:15.661566156,Corrective,17,9
2020-01-01 07:00:31.323132313,Routine,3,42
2020-01-01 10:30:46.984698469,Preventive,22,42
2020-01-01 14:01:02.646264626,Routine,2,46
2020-01-01 17:31:18.307830783,Routine,8,13
2020-01-01 21:01:33.969396939,Preventive,4,45
2020-01-02 00:31:49.630963096,Preventive,4,11
2020-01-02 04:02:05.292529252,Corrective,2,13
2020-01-02 07:32:20.954095409,Corrective,10,25
2020-01-02 11:02:36.615661566,Preventive,23,11
2020-01-02 14:32:52.277227722,Corrective,13,36
2020-01-02 18:03:07.938793879,Preventive,22,9
2020-01-02 21:33:23.600360036,Corrective,17,34
2020-01-03 01:03:39.261926192,Preventive,2,47
2020-01-03 04:33:54.923492349,Corrective,7,32
2020-01-03 08:04:10.585058505,Preventive,19,19
2020-01-03 11:34:26.246624662,Corrective,8,30
2020-01-03 15:04:41.908190819,Preventive,3,15
2020-01-03 18:34:57.569756975,Corrective,23,7
2020-01-03 22:05:13.231323132,Routine,7,31
2020-01-04 01:35:28.892889288,Corrective,6,47
2020-01-04 05:05:44.554455445,Preventive,6,18
2020-01-04 08:36:00.216021602,Corrective,3,14
2020-01-04 12:06:15.877587758,Preventive,4,33
2020-01-04 15:36:31.539153915,Corrective,19,16
2020-01-04 19:06:47.200720072,Corrective,20,3
2020-01-04 22:37:02.862286228,Routine,23,34
2020-01-05 02:07:18.523852385,Preventive,1,4
2020-01-05 05:37:34.185418541,Routine,12,32
2020-01-05 09:07:49.846984698,Preventive,21,23
2020-01-05 12:38:05.508550855,Corrective,22,4
2020-01-05 16:08:21.170117011,Corrective,7,2
2020-01-05 19:38:36.831683168,Corrective,20,4
2020-01-05 23:08:52.493249324,Corrective,15,37
2020-01-06 02:39:08.154815481,Corrective,3,11
2020-01-06 06:09:23.816381638,Preventive,20,26
2020-01-06 09:39:39.477947794,Corrective,12,3
2020-01-06 13:09:55.139513951,Corrective,13,8
2020-01-06 16:40:10.801080108,Routine,18,41
2020-01-06 20:10:26.462646264,Routine,7,35
2020-01-06 23:40:42.124212421,Corrective,6,15
2020-01-07 03:10:57.785778577,Routine,9,43
2020-01-07 06:41:13.447344734,Corrective,8,9
2020-01-07 10:11:29.108910891,Preventive,3,19
2020-01-07 13:41:44.770477047,Corrective,12,5
2020-01-07 17:12:00.432043204,Routine,18,6
2020-01-07 20:42:16.093609360,Routine,17,3
2020-01-08 00:12:31.755175517,Preventive,23,13
2020-01-08 03:42:47.416741674,Preventive,10,22
2020-01-08 07:13:03.078307830,Corrective,14,29
2020-01-08 10:43:18.739873987,Preventive,22,10
2020-01-08 14:13:34.401440144,Routine,23,13
2020-01-08 17:43:50.063006300,Preventive,3,7
2020-01-08 21:14:05.724572457,Corrective,19,26
2020-01-09 00:44:21.386138613,Corrective,6,12
2020-01-09 04:14:37.047704770,Routine,6,3
2020-01-09 07:44:52.709270927,Preventive,13,3
2020-01-09 11:15:08.370837083,Corrective,6,7
2020-01-09 14:45:24.032403240,Preventive,15,2
2020-01-09 18:15:39.693969396,Corrective,18,31
2020-01-09 21:45:55.355535553,Routine,20,22
2020-01-10 01:16:11.017101710,Routine,3,20
2020-01-10 04:46:26.678667866,Corrective,10,15
2020-01-10 08:16:42.340234023,Corrective,1,44
2020-01-10 11:46:58.001800180,Corrective,9,21
2020-01-10 15:17:13.663366336,Routine,23,13
2020-01-10 18:47:29.324932493,Routine,18,4
2020-01-10 22:17:44.986498649,Corrective,20,3
2020-01-11 01:48:00.648064806,Routine,22,19
2020-01-11 05:18:16.309630963,Corrective,2,29
2020-01-11 08:48:31.971197119,Preventive,13,14
2020-01-11 12:18:47.632763276,Preventive,19,23
2020-01-11 15:49:03.294329432,Corrective,20,34
2020-01-11 19:19:18.955895589,Corrective,7,42
2020-01-11 22:49:34.617461746,Routine,22,22
2020-01-12 02:19:50.279027902,Routine,13,40
2020-01-12 05:50:05.940594059,Corrective,16,42
2020-01-12 09:20:21.602160216,Corrective,13,1
2020-01-12 12:50:37.263726372,Preventive,12,28
2020-01-12 16:20:52.925292529,Routine,20,15
2020-01-12 19:51:08.586858685,Routine,20,6
2020-01-12 23:21:24.248424842,Preventive,3,5
2020-01-13 02:51:39.909990999,Preventive,11,8
2020-01-13 06:21:55.571557155,Routine,3,11
2020-01-13 09:52:11.233123312,Corrective,23,0
2020-01-13 13:22:26.894689468,Corrective,16,34
2020-01-13 16:52:42.556255625,Preventive,16,17
2020-01-13 20:22:58.217821782,Corrective,20,24
2020-01-13 23:53:13.879387938,Corrective,7,31
2020-01-14 03:23:29.540954095,Preventive,19,36
2020-01-14 06:53:45.202520252,Routine,7,5
2020-01-14 10:24:00.864086408,Routine,20,10
2020-01-14 13:54:16.525652565,Routine,22,17
2020-01-14 17:24:32.187218721,Corrective,8,17
2020-01-14 20:54:47.848784878,Corrective,10,22
2020-01-15 00:25:03.510351035,Preventive,6,47
2020-01-15 03:55:19.171917191,Corrective,17,39
2020-01-15 07:25:34.833483348,Preventive,15,20
2020-01-15 10:55:50.495049505,Corrective,1,9
2020-01-15 14:26:06.156615661,Preventive,5,0
2020-01-15 17:56:21.818181818,Preventive,16,43
2020-01-15 21:26:37.479747974,Corrective,13,36
2020-01-16 00:56:53.141314131,Preventive,22,19
2020-01-16 04:27:08.802880288,Preventive,1,22
2020-01-16 07:57:24.464446444,Preventive,20,24
2020-01-16 11:27:40.126012601,Corrective,6,29
2020-01-16 14:57:55.787578757,Corrective,1,44
2020-01-16 18:28:11.449144914,Routine,17,28
2020-01-16 21:58:27.110711071,Corrective,20,42
2020-01-17 01:28:42.772277227,Preventive,5,22
2020-01-17 04:58:58.433843384,Corrective,23,16
2020-01-17 08:29:14.095409541,Preventive,13,21
2020-01-17 11:59:29.756975697,Corrective,9,13
2020-01-17 15:29:45.418541854,Preventive,19,10
2020-01-17 19:00:01.080108010,Routine,9,31
2020-01-17 22:30:16.741674167,Corrective,11,43
2020-01-18 02:00:32.403240324,Preventive,5,28
2020-01-18 05:30:48.064806480,Preventive,15,33
2020-01-18 09:01:03.726372637,Routine,7,22
2020-01-18 12:31:19.387938793,Routine,12,38
2020-01-18 16:01:35.049504950,Routine,23,34
2020-01-18 19:31:50.711071107,Corrective,5,27
2020-01-18 23:02:06.372637263,Preventive,6,18
2020-01-19 02:32:22.034203420,Corrective,13,1
2020-01-19 06:02:37.695769577,Preventive,15,4
2020-01-19 09:32:53.357335733,Routine,16,3
2020-01-19 13:03:09.018901890,Preventive,7,8
2020-01-19 16:33:24.680468046,Corrective,21,5
2020-01-19 20:03:40.342034203,Preventive,10,10
2020-01-19 23:33:56.003600360,Routine,16,4
2020-01-20 03:04:11.665166516,Corrective,22,47
2020-01-20 06:34:27.326732673,Routine,7,30
2020-01-20 10:04:42.988298829,Routine,22,2
2020-01-20 13:34:58.649864986,Preventive,3,3
